origin,development,value
2015,2015,3445.2
2015,2016,7574.7
2015,2017,11461.3
2015,2018,14817.0
2015,2019,22600.6
2015,2020,24366.8
2015,2021,24494.9
2015,2022,24519.5
2016,2016,3922.9
2016,2017,8621.4
2016,2018,13043.2
2016,2019,21457.8
2016,2020,23723.1
2016,2021,25512.0
2016,2022,25674.0
2017,2017,4289.8
2017,2018,9574.7
2017,2019,19378.2
2017,2020,23468.3
2017,2021,25850.9
2017,2022,27948.2
2018,2018,4433.2
2018,2019,13493.1
2018,2020,20047.9
2018,2021,25585.2
2018,2022,28556.7
2019,2019,7298.0
2019,2020,16272.5
2019,2021,24745.5
2019,2022,30810.9
2020,2020,7337.1
2020,2021,16443.0
2020,2022,24001.2
2021,2021,6712.2
2021,2022,14670.9
2022,2022,7299.6
